ID|Brand|Type|Frame Size|Rental Rate|Purchase Date|Condition|Status
1|Merida|Hybrid Bike|Large|25/day; 125/week|19/10/2024|Fair|Available
2|Merida|Gravel Bike|Small|20/day; 100/week|24/09/2020|Fair|Under Maintenance
3|Specialized|Gravel Bike|Large|25/day; 125/week|16/10/2021|Fair|Available
4|Santa Cruz|Electric Bike|Small|Missing|22/11/2019|Damaged|Rented
5|Merida|Electric Bike|Small|25/day; 125/week|26/04/2020|Damaged|Rented
6|Trek|Road Bike|Small|10/day; 50/week|18/05/2023|New|Available
7|Santa Cruz|Road Bike|Large|30/day; 150/week|08/03/2019|Fair|Under Maintenance
8|GT|Electric Bike|Medium|30/day; 150/week|24/01/2020|Damaged|Rented
9|Cannondale|Gravel Bike|Medium|10/day; 50/week|10/06/2024|Fair|Rented
10|Santa Cruz|Electric Bike|Small|Missing|30/05/2019|Good|Rented
11|Scott|Electric Bike|Small|25/day; 125/week|01/11/2020|New|Available
12|Bianchi|Road Bike|Large|30/day; 150/week|07/01/2022|Fair|Available
13|Bianchi|Hybrid Bike|Medium|20/day; 100/week|13/02/2019|New|Rented
14|Merida|Gravel Bike|Medium|20/day; 100/week|19/05/2023|Fair|Rented
15|Bianchi|Hybrid Bike|Large|10/day; 50/week|17/06/2021|Fair|Available
16|Norco|Gravel Bike|Small|10/day; 50/week|27/08/2023|New|Available
17|Norco|Road Bike|Large|20/day; 100/week|21/08/2022|Fair|Rented
18|GT|Electric Bike|Medium|30/day; 150/week|17/08/2022|Damaged|Under Maintenance
19|Giant|Electric Bike|Medium|10/day; 50/week|28/05/2021|Good|Under Maintenance
20|Bianchi|Road Bike|Small|Missing|31/10/2023|Damaged|Available
21|Bianchi|Electric Bike|Small|20/day; 100/week|16/09/2024|Good|Under Maintenance
22|Giant|Mountain Bike|Large|10/day; 50/week|21/05/2019|Good|Available
23|Santa Cruz|Mountain Bike|Large|30/day; 150/week|26/01/2020|Fair|Under Maintenance
24|Cannondale|Electric Bike|Large|20/day; 100/week|06/09/2023|Good|Rented
25|Scott|Mountain Bike|Medium|15/day; 75/week|03/09/2021|New|Available
26|Trek|BMX|Small|25/day; 125/week|10/07/2022|New|Under Maintenance
27|Specialized|Hybrid Bike|Large|15/day; 75/week|03/06/2023|Damaged|Rented
28|GT|Road Bike|Medium|10/day; 50/week|01/08/2022|Fair|Available
29|Merida|Electric Bike|Small|20/day; 100/week|23/11/2020|New|Rented
30|Cannondale|Road Bike|Small|25/day; 125/week|10/11/2019|Fair|Available
31|Specialized|Gravel Bike|Small|20/day; 100/week|08/05/2020|New|Rented
32|GT|Gravel Bike|Medium|20/day; 100/week|01/11/2024|New|Under Maintenance
33|Specialized|Mountain Bike|Medium|25/day; 125/week|05/01/2024|Damaged|Under Maintenance
34|Cannondale|Mountain Bike|Medium|15/day; 75/week|06/08/2022|Fair|Rented
35|Santa Cruz|Electric Bike|Large|15/day; 75/week|18/08/2023|New|Available
36|Cannondale|Gravel Bike|Medium|20/day; 100/week|21/05/2024|Good|Under Maintenance
37|Merida|Electric Bike|Large|10/day; 50/week|25/06/2023|Damaged|Available
38|Cannondale|Mountain Bike|Medium|25/day; 125/week|12/06/2019|Fair|Rented
39|Merida|BMX|Small|10/day; 50/week|13/06/2021|New|Available
40|Cannondale|Gravel Bike|Medium|20/day; 100/week|15/08/2021|New|Rented
41|Cannondale|Mountain Bike|Large|10/day; 50/week|07/06/2019|Damaged|Under Maintenance
42|Trek|Road Bike|Small|25/day; 125/week|23/10/2022|Damaged|Available
43|Bianchi|Hybrid Bike|Large|30/day; 150/week|25/02/2021|New|Rented
44|Trek|BMX|Medium|20/day; 100/week|21/06/2020|Fair|Rented
45|Giant|BMX|Large|15/day; 75/week|05/09/2020|Good|Rented
46|GT|Mountain Bike|Small|15/day; 75/week|02/07/2024|Damaged|Under Maintenance
47|Giant|Road Bike|Medium|10/day; 50/week|18/01/2024|Fair|Available
48|Merida|Mountain Bike|Medium|30/day; 150/week|07/10/2019|Good|Available
49|Merida|Gravel Bike|Small|15/day; 75/week|16/10/2021|Good|Rented
50|Norco|Road Bike|Large|30/day; 150/week|18/09/2021|Good|Available
51|Giant|Gravel Bike|Medium|Missing|21/01/2023|Damaged|Available
52|Merida|Gravel Bike|Medium|15/day; 75/week|18/09/2022|Good|Under Maintenance
53|Trek|Road Bike|Large|10/day; 50/week|03/09/2023|Damaged|Under Maintenance
54|Merida|Road Bike|Small|10/day; 50/week|17/09/2023|New|Available
55|Specialized|Road Bike|Medium|20/day; 100/week|17/04/2020|Damaged|Under Maintenance
56|Santa Cruz|Gravel Bike|Medium|10/day; 50/week|23/02/2022|Fair|Rented
57|Santa Cruz|Road Bike|Medium|30/day; 150/week|13/09/2023|Fair|Under Maintenance
58|Norco|BMX|Medium|10/day; 50/week|29/08/2023|New|Under Maintenance
59|Bianchi|Electric Bike|Large|Missing|16/05/2022|Damaged|Under Maintenance
60|Trek|Mountain Bike|Small|Missing|31/01/2020|New|Rented
61|Bianchi|Hybrid Bike|Small|15/day; 75/week|27/01/2021|Good|Under Maintenance
62|Giant|BMX|Small|Missing|28/03/2019|Damaged|Available
63|Cannondale|Hybrid Bike|Medium|10/day; 50/week|05/03/2021|New|Available
64|GT|Electric Bike|Small|20/day; 100/week|25/04/2022|Damaged|Under Maintenance
65|Scott|Road Bike|Large|10/day; 50/week|15/12/2024|New|Available
66|Norco|Road Bike|Small|Missing|14/08/2020|New|Under Maintenance
67|Norco|Electric Bike|Medium|20/day; 100/week|15/08/2022|Damaged|Under Maintenance
68|Trek|BMX|Medium|25/day; 125/week|03/01/2023|Fair|Rented
69|GT|Electric Bike|Medium|10/day; 50/week|17/04/2019|Fair|Rented
70|Bianchi|Gravel Bike|Large|30/day; 150/week|01/11/2024|Good|Under Maintenance
71|Scott|Gravel Bike|Large|25/day; 125/week|08/02/2021|Damaged|Rented
72|Specialized|Electric Bike|Medium|15/day; 75/week|09/10/2023|Damaged|Under Maintenance
73|Bianchi|BMX|Large|30/day; 150/week|25/06/2020|Fair|Under Maintenance
74|Scott|Mountain Bike|Large|10/day; 50/week|18/11/2020|New|Available
75|Specialized|Hybrid Bike|Medium|15/day; 75/week|19/09/2019|New|Rented
76|Trek|Mountain Bike|Large|10/day; 50/week|06/02/2020|Damaged|Under Maintenance
77|Merida|BMX|Medium|25/day; 125/week|18/03/2019|Damaged|Available
78|Specialized|Mountain Bike|Medium|25/day; 125/week|29/07/2022|Damaged|Available
79|Cannondale|Gravel Bike|Small|30/day; 150/week|28/10/2022|Fair|Under Maintenance
80|Trek|Hybrid Bike|Small|15/day; 75/week|08/02/2020|Fair|Available
81|Scott|BMX|Large|15/day; 75/week|06/06/2020|New|Rented
82|Norco|Hybrid Bike|Large|15/day; 75/week|10/07/2021|Fair|Available
83|Merida|Road Bike|Large|25/day; 125/week|14/07/2020|Fair|Under Maintenance
84|Giant|Road Bike|Large|25/day; 125/week|08/07/2024|Good|Available
85|Bianchi|Gravel Bike|Small|20/day; 100/week|22/06/2024|Fair|Under Maintenance
86|Santa Cruz|Electric Bike|Small|15/day; 75/week|23/03/2023|Good|Available
87|Santa Cruz|BMX|Large|25/day; 125/week|18/07/2021|Good|Rented
88|Giant|Mountain Bike|Small|20/day; 100/week|06/05/2024|New|Available
89|Bianchi|BMX|Medium|10/day; 50/week|16/07/2019|Good|Available
90|GT|BMX|Medium|15/day; 75/week|19/06/2021|Fair|Available
91|Merida|Mountain Bike|Large|20/day; 100/week|22/11/2024|Damaged|Available
92|Cannondale|Hybrid Bike|Large|15/day; 75/week|26/05/2020|Good|Rented
93|Trek|Mountain Bike|Large|20/day; 100/week|17/01/2019|Fair|Under Maintenance
94|Merida|Electric Bike|Medium|Missing|28/12/2020|Damaged|Under Maintenance
95|GT|Hybrid Bike|Medium|15/day; 75/week|04/09/2020|New|Rented
96|Santa Cruz|Hybrid Bike|Large|15/day; 75/week|14/02/2020|New|Under Maintenance
97|Giant|Gravel Bike|Small|15/day; 75/week|13/01/2024|Damaged|Available
98|Giant|Mountain Bike|Large|15/day; 75/week|02/03/2020|Fair|Rented
99|GT|Electric Bike|Large|30/day; 150/week|10/08/2019|Fair|Under Maintenance
100|Norco|Mountain Bike|Medium|15/day; 75/week|07/01/2021|Fair|Under Maintenance
101|Cannondale|Hybrid Bike|Large|25/day; 125/week|20/02/2024|Fair|Rented
102|Merida|Gravel Bike|Medium|15/day; 75/week|03/09/2019|New|Available
103|Trek|Road Bike|Medium|20/day; 100/week|19/06/2020|Damaged|Under Maintenance
104|Trek|Mountain Bike|Large|15/day; 75/week|30/06/2020|New|Under Maintenance
105|Scott|BMX|Small|10/day; 50/week|21/02/2021|Good|Rented
106|Merida|BMX|Medium|10/day; 50/week|16/01/2024|New|Available
107|Merida|Hybrid Bike|Small|15/day; 75/week|17/02/2022|Good|Rented
108|Giant|Road Bike|Medium|15/day; 75/week|06/01/2023|New|Rented
109|Cannondale|Mountain Bike|Medium|15/day; 75/week|20/09/2019|Damaged|Under Maintenance
110|Scott|Road Bike|Large|30/day; 150/week|07/01/2023|Good|Rented
111|Giant|BMX|Small|10/day; 50/week|26/07/2019|New|Under Maintenance
112|Trek|BMX|Large|20/day; 100/week|01/08/2023|Fair|Under Maintenance
113|Bianchi|Hybrid Bike|Small|10/day; 50/week|08/03/2024|New|Under Maintenance
114|Specialized|BMX|Large|30/day; 150/week|08/11/2024|New|Under Maintenance
115|GT|Road Bike|Large|15/day; 75/week|09/09/2023|Good|Available
116|Merida|Road Bike|Large|25/day; 125/week|03/11/2022|New|Under Maintenance
117|Bianchi|Road Bike|Medium|30/day; 150/week|09/09/2024|Fair|Under Maintenance
118|Cannondale|Electric Bike|Small|15/day; 75/week|17/03/2024|Damaged|Rented
119|Scott|BMX|Small|30/day; 150/week|09/08/2020|New|Under Maintenance
120|Cannondale|Electric Bike|Small|25/day; 125/week|04/06/2021|Fair|Under Maintenance
121|Bianchi|Electric Bike|Medium|10/day; 50/week|16/08/2024|Fair|Rented
122|Giant|Hybrid Bike|Small|20/day; 100/week|02/08/2022|Fair|Under Maintenance
123|Trek|Electric Bike|Large|10/day; 50/week|03/12/2020|Good|Under Maintenance
124|Scott|Electric Bike|Small|30/day; 150/week|20/04/2019|New|Available
125|GT|Mountain Bike|Large|20/day; 100/week|14/04/2019|Good|Under Maintenance
126|Trek|Electric Bike|Medium|20/day; 100/week|09/09/2021|Fair|Available
127|Santa Cruz|BMX|Medium|25/day; 125/week|05/01/2019|Fair|Rented
128|Merida|Road Bike|Large|Missing|05/07/2019|Good|Available
129|Trek|Hybrid Bike|Medium|20/day; 100/week|23/05/2022|Damaged|Rented
130|Trek|Gravel Bike|Large|30/day; 150/week|29/12/2022|Fair|Rented
131|GT|Road Bike|Small|15/day; 75/week|10/05/2020|Damaged|Under Maintenance
132|Santa Cruz|BMX|Large|30/day; 150/week|26/07/2019|Good|Available
133|Santa Cruz|Hybrid Bike|Medium|30/day; 150/week|27/10/2022|Fair|Rented
134|Trek|Mountain Bike|Small|30/day; 150/week|14/09/2023|Damaged|Available
135|Norco|Road Bike|Large|20/day; 100/week|23/11/2019|New|Rented
136|Specialized|Road Bike|Large|25/day; 125/week|12/01/2024|New|Under Maintenance
137|Giant|Road Bike|Medium|15/day; 75/week|12/02/2023|New|Under Maintenance
